Creative_Type	Director	Distributor	IMDB_Rating	IMDB_Votes	MPAA_Rating	Major_Genre	Production_Budget	Release_Date	Rotten_Tomatoes_Rating	Running_Time_min	Source	Title	US_DVD_Sales	US_Gross	Worldwide_Gross
NUUUU	NUUUU	NUUUU	2.5	1677	NUUUU	NUUUU	13500000	5-Oct-56	90	NUUUU	NUUUU	The Ten Commandments	NUUUU	80000000	80000000
NUUUU	Sidney Lumet	United Artists	8.9	119101	NUUUU	Drama	340000	13-Apr-57	NUUUU	NUUUU	Original Screenplay	12 Angry Men	NUUUU	0	0
Science Fiction	Terry Gilliam	Universal	8.1	169858	R	Drama	29000000	27-Dec-95	NUUUU	NUUUU	Based on Short Film	Twelve Monkeys	NUUUU	57141459	168841459
Historical Fiction	NUUUU	Sony/Columbia	7.0	4099	PG	Drama	4000000	9-Nov-72	57	NUUUU	Based on Play	1776	NUUUU	0	0
Historical Fiction	Steven Spielberg	Universal	5.6	13364	NUUUU	Comedy	32000000	14-Dec-79	33	NUUUU	Original Screenplay	1941	NUUUU	34175000	94875000
NUUUU	NUUUU	Strand	6.3	365	Not Rated	Thriller/Suspense	1900000	29-Jun-07	NUUUU	NUUUU	Original Screenplay	Chacun sa nuit	NUUUU	18435	18435
Science Fiction	Stanley Kubrick	NUUUU	8.4	160342	NUUUU	NUUUU	10500000	2-Apr-68	96	NUUUU	Original Screenplay	2001: A Space Odyssey	NUUUU	56700000	68700000
NUUUU	Richard Fleischer	Walt Disney Pictures	NUUUU	NUUUU	NUUUU	Adventure	5000000	23-Dec-54	92	NUUUU	Based on Book/Short Story	20,000 Leagues Under the Sea	NUUUU	28200000	28200000
NUUUU	NUUUU	NUUUU	NUUUU	NUUUU	NUUUU	Adventure	200000	24-Dec-16	NUUUU	NUUUU	Based on Book/Short Story	20,000 Leagues Under the Sea	NUUUU	8000000	8000000
NUUUU	Shane Meadows	October Films	6.9	1417	R	Comedy	2000000	15-Apr-98	NUUUU	NUUUU	Original Screenplay	24 7: Twenty Four Seven	NUUUU	72544	72544
Contemporary Fiction	Michael Polish	Sony Pictures Classics	7.1	2810	R	Drama	500000	30-Jul-99	77	NUUUU	Original Screenplay	Twin Falls Idaho	NUUUU	985341	1027228
Historical Fiction	NUUUU	NUUUU	NUUUU	NUUUU	R	Action	20000000	3-Apr-08	NUUUU	NUUUU	Based on Book/Short Story	Three Kingdoms: Resurrection of the Dragon	NUUUU	0	22139590
Contemporary Fiction	Leonard Nimoy	Walt Disney Pictures	5.7	16764	NUUUU	Comedy	15000000	25-Nov-87	NUUUU	NUUUU	Remake	3 Men and a Baby	NUUUU	167780960	167780960
Contemporary Fiction	NUUUU	Walt Disney Pictures	3.2	3107	PG	Action	20000000	6-May-94	17	NUUUU	Original Screenplay	3 Ninjas Kick Back	NUUUU	11744960	11744960
NUUUU	NUUUU	Vitagraph Films	6.0	873	R	Drama	1500000	28-Sep-05	NUUUU	NUUUU	Original Screenplay	Forty Shades of Blue	NUUUU	75828	172569
NUUUU	NUUUU	Warner Bros.	7.7	4263	NUUUU	Musical	439000	9-Mar-33	95	NUUUU	Based on Book/Short Story	42nd Street	NUUUU	2300000	2300000
Contemporary Fiction	Robert Rodriguez	Miramax	6.4	34328	R	Comedy	4000000	25-Dec-95	14	NUUUU	Original Screenplay	Four Rooms	NUUUU	4301000	4301000
Contemporary Fiction	Alan Alda	Universal	7.0	1814	NUUUU	Comedy	6500000	22-May-81	71	NUUUU	Original Screenplay	The Four Seasons	NUUUU	42488161	42488161
Contemporary Fiction	Mike Newell	Gramercy	7.1	39003	R	Romantic Comedy	4500000	9-Mar-94	96	NUUUU	Original Screenplay	Four Weddings and a Funeral	NUUUU	52700832	242895809
NUUUU	NUUUU	Truly Indie	7.4	439	Not Rated	NUUUU	350000	18-Oct-06	97	NUUUU	NUUUU	51 Birch Street	NUUUU	84689	84689
NUUUU	NUUUU	NUUUU	6.8	2104	NUUUU	Drama	17000000	1963-01-01	57	NUUUU	Original Screenplay	55 Days at Peking	NUUUU	10000000	10000000
Contemporary Fiction	Adrian Lyne	MGM	5.4	12731	NUUUU	Drama	18000000	21-Feb-86	NUUUU	NUUUU	Based on Book/Short Story	Nine 1/2 Weeks	NUUUU	6734844	6734844
Fantasy	NUUUU	Alliance	4.9	5620	Not Rated	Adventure	113500000	4-Jul-08	NUUUU	NUUUU	Based on Comic/Graphic Novel	AstÈrix aux Jeux Olympiques	NUUUU	999811	132999811
Science Fiction	James Cameron	20th Century Fox	7.6	51018	PG-13	Action	70000000	9-Aug-89	88	NUUUU	Original Screenplay	The Abyss	NUUUU	54243125	54243125
Contemporary Fiction	NUUUU	Lorimar Motion Pictures	4.6	3856	NUUUU	Action	7000000	12-Feb-88	10	NUUUU	Original Screenplay	Action Jackson	NUUUU	20257000	20257000
Contemporary Fiction	Tom Shadyac	Warner Bros.	6.6	63543	PG-13	Comedy	12000000	4-Feb-94	49	NUUUU	Original Screenplay	Ace Ventura: Pet Detective	NUUUU	72217396	107217396
Contemporary Fiction	Steve Oedekerk	Warner Bros.	5.6	51275	PG-13	Comedy	30000000	10-Nov-95	NUUUU	NUUUU	Original Screenplay	Ace Ventura: When Nature Calls	NUUUU	108360063	212400000
Contemporary Fiction	NUUUU	Paramount Pictures	NUUUU	NUUUU	NUUUU	Horror	5000000	27-Mar-86	31	NUUUU	Original Screenplay	April Fool's Day	NUUUU	12947763	12947763
NUUUU	NUUUU	Fox Searchlight	5.7	546	R	Romantic Comedy	4000000	26-Mar-99	NUUUU	NUUUU	Original Screenplay	Among Giants	NUUUU	64359	64359
NUUUU	NUUUU	MGM	7.1	1326	NUUUU	Musical	3768785	17-May-50	100	NUUUU	Based on Book/Short Story	Annie Get Your Gun	NUUUU	8000000	8000000
NUUUU	NUUUU	RKO Radio Pictures	6.7	63458	NUUUU	Musical	3000000	28-Jul-51	20	NUUUU	Based on Book/Short Story	Alice in Wonderland	NUUUU	0	0
Fantasy	NUUUU	Miramax	7.3	893	G	Adventure	24000000	25-Aug-95	NUUUU	NUUUU	Original Screenplay	The Princess and the Cobbler	NUUUU	669276	669276
Historical Fiction	John Wayne	United Artists	5.9	10063	PG-13	Western	12000000	24-Oct-60	54	NUUUU	Original Screenplay	The Alamo	NUUUU	7900000	7900000
NUUUU	NUUUU	20th Century Fox	NUUUU	NUUUU	NUUUU	Drama	2000000	1938-01-01	NUUUU	NUUUU	Original Screenplay	Alexander's Ragtime Band	NUUUU	4000000	4000000
Dramatization	Frank Marshall	Walt Disney Pictures	3.2	124	R	Adventure	32000000	15-Jan-93	71	NUUUU	Based on Book/Short Story	Alive	NUUUU	36299670	36299670
NUUUU	Costa-Gavras	Kino International	7.4	5416	Not Rated	Drama	14000000	24-Jan-03	NUUUU	NUUUU	Based on Play	Amen	NUUUU	274299	274299
NUUUU	George Lucas	Universal	7.6	30952	NUUUU	Comedy	777000	11-Aug-73	97	NUUUU	Original Screenplay	American Graffiti	NUUUU	115000000	140000000
NUUUU	Sam Firstenberg	NUUUU	3.7	2495	NUUUU	Action	350000	1987-01-01	NUUUU	NUUUU	Original Screenplay	American Ninja 2: The Confrontation	NUUUU	4000000	4000000
Contemporary Fiction	Rob Reiner	Sony Pictures	6.8	22780	PG-13	Romantic Comedy	62000000	17-Nov-95	90	NUUUU	Original Screenplay	The American President	NUUUU	60022813	107822813
NUUUU	Woody Allen	MGM	8.2	65406	NUUUU	Comedy	4000000	20-Apr-77	98	NUUUU	Original Screenplay	Annie Hall	NUUUU	38251425	38251425
NUUUU	NUUUU	Sony Pictures	6.1	6266	Not Rated	Horror	2500000	8-Sep-00	NUUUU	NUUUU	Original Screenplay	Anatomie	NUUUU	9598	9598
Historical Fiction	Stephen Sommers	Walt Disney Pictures	5.8	3095	PG	Adventure	6500000	2-Apr-93	62	NUUUU	Based on Book/Short Story	The Adventures of Huck Finn	NUUUU	24103594	24103594
NUUUU	Billy Wilder	United Artists	8.4	36485	NUUUU	Romantic Comedy	3000000	1960-01-01	91	NUUUU	Original Screenplay	The Apartment	NUUUU	18600000	24600000
Historical Fiction	Francis Ford Coppola	MGM	8.6	173141	R	Action	31500000	15-Aug-79	98	NUUUU	Based on Book/Short Story	Apocalypse Now	3479242	78800000	78800000
Science Fiction	Frank Marshall	Walt Disney Pictures	6.2	20528	NUUUU	Thriller/Suspense	31000000	18-Jul-90	85	NUUUU	Original Screenplay	Arachnophobia	NUUUU	53208180	53208180
Historical Fiction	NUUUU	NUUUU	6.4	6251	R	Action	16500000	25-Dec-07	NUUUU	NUUUU	Based on Book/Short Story	Arn - Tempelriddaren	NUUUU	0	14900000
Contemporary Fiction	NUUUU	The Movie Partners	5.1	77	PG-13	Thriller/Suspense	600000	19-Oct-07	NUUUU	NUUUU	Original Screenplay	Arnolds Park	NUUUU	23616	23616
NUUUU	NUUUU	NUUUU	5.6	1769	NUUUU	NUUUU	150000	1-Jan-71	NUUUU	NUUUU	NUUUU	Sweet Sweetback's Baad Asssss Song	NUUUU	15200000	15200000
NUUUU	NUUUU	Fox Meadow	4.4	200	Not Rated	Comedy	989000	1-Jun-07	17	NUUUU	NUUUU	And Then Came Love	NUUUU	8158	8158
NUUUU	NUUUU	United Artists	5.6	21516	PG	Adventure	6000000	17-Oct-56	73	NUUUU	Based on Book/Short Story	Around the World in 80 Days	NUUUU	42000000	42000000
Science Fiction	NUUUU	Paramount Pictures	5.7	10794	NUUUU	Adventure	9000000	10-Oct-68	74	NUUUU	Based on Comic/Graphic Novel	Barbarella	NUUUU	0	0
NUUUU	Stanley Kubrick	Warner Bros.	8.1	39909	NUUUU	Drama	11000000	1975-01-01	94	NUUUU	Based on Book/Short Story	Barry Lyndon	NUUUU	20000000	20000000
NUUUU	NUUUU	NUUUU	5.4	236	NUUUU	NUUUU	4000000	March, 1987	NUUUU	NUUUU	NUUUU	Barbarians, The	NUUUU	800000	800000
Contemporary Fiction	Chris Noonan	Universal	7.3	35644	G	Adventure	30000000	4-Aug-95	98	NUUUU	Based on Book/Short Story	Babe	NUUUU	63658910	246100000
Contemporary Fiction	NUUUU	Wingate Distribution	NUUUU	NUUUU	R	Romantic Comedy	2900000	24-Mar-06	NUUUU	104	Original Screenplay	Boynton Beach Club	NUUUU	3127472	3127472
Contemporary Fiction	Patrick Read Johnson	20th Century Fox	5.0	8332	PG	Comedy	50000000	1-Jul-94	21	NUUUU	Original Screenplay	Baby's Day Out	NUUUU	16581575	16581575
NUUUU	Taylor Hackford	Walt Disney Pictures	7.7	10142	NUUUU	NUUUU	35000000	16-Apr-93	NUUUU	NUUUU	Original Screenplay	Bound by Honor	NUUUU	4496583	4496583
Contemporary Fiction	NUUUU	Alliance	6.9	151	Not Rated	Comedy	8000000	4-Aug-06	67	NUUUU	Original Screenplay	Bon Cop, Bad Cop	NUUUU	12671300	12671300
Science Fiction	Robert Zemeckis	Universal	8.4	201598	NUUUU	Adventure	19000000	3-Jul-85	96	NUUUU	Original Screenplay	Back to the Future	NUUUU	210609762	381109762
Science Fiction	Robert Zemeckis	Universal	7.5	87341	NUUUU	Adventure	40000000	22-Nov-89	64	NUUUU	Original Screenplay	Back to the Future Part II	NUUUU	118450002	332000000
Science Fiction	Robert Zemeckis	Universal	7.1	77541	NUUUU	Adventure	40000000	24-May-90	71	NUUUU	Original Screenplay	Back to the Future Part III	NUUUU	87666629	243700000
Historical Fiction	George Roy Hill	20th Century Fox	8.2	57602	NUUUU	Western	6000000	24-Oct-69	90	NUUUU	NUUUU	Butch Cassidy and the Sundance Kid	NUUUU	102308900	102308900
Contemporary Fiction	Michael Bay	Sony Pictures	6.6	53929	R	Action	23000000	7-Apr-95	39	NUUUU	Original Screenplay	Bad Boys	NUUUU	65647413	141247413
Contemporary Fiction	Brian De Palma	Sony/Columbia	6.4	9738	NUUUU	Thriller/Suspense	10000000	26-Oct-84	84	NUUUU	Original Screenplay	Body Double	NUUUU	8801940	8801940
NUUUU	NUUUU	Warner Bros.	NUUUU	NUUUU	NUUUU	NUUUU	210000	13-Jun-53	90	NUUUU	Based on Book/Short Story	The Beast from 20,000 Fathoms	NUUUU	5000000	5000000
Fantasy	NUUUU	New Line	3.3	1327	NUUUU	NUUUU	6000000	30-Aug-91	17	NUUUU	Based on Book/Short Story	Beastmaster 2: Through the Portal of Time	NUUUU	773490	773490
Fantasy	NUUUU	MGM	5.7	5734	NUUUU	Action	5000000	20-Aug-82	50	NUUUU	Based on Book/Short Story	The Beastmaster	NUUUU	10751126	10751126
NUUUU	NUUUU	MGM	8.2	58510	NUUUU	Adventure	3900000	30-Dec-25	NUUUU	NUUUU	Based on Book/Short Story	Ben-Hur	NUUUU	9000000	9000000
NUUUU	William Wyler	MGM	8.2	58510	NUUUU	Adventure	15000000	18-Nov-59	91	NUUUU	Based on Book/Short Story	Ben-Hur	NUUUU	73000000	73000000
NUUUU	NUUUU	NUUUU	5.8	1801	NUUUU	Adventure	500000	15-Nov-74	83	NUUUU	Original Screenplay	Benji	NUUUU	31559560	31559560
Contemporary Fiction	Richard Linklater	Sony Pictures	8.0	39705	R	Drama	2500000	27-Jan-95	100	NUUUU	Original Screenplay	Before Sunrise	NUUUU	5274005	5274005
Fantasy	Gary Trousdale	Walt Disney Pictures	3.4	354	G	Musical	20000000	13-Nov-91	93	NUUUU	Based on Book/Short Story	Beauty and the Beast	NUUUU	171340294	403476931
NUUUU	William Wyler	RKO Radio Pictures	8.2	17338	NUUUU	Drama	2100000	21-Nov-46	97	NUUUU	Based on Book/Short Story	The Best Years of Our Lives	NUUUU	23600000	23600000
Historical Fiction	NUUUU	Embassy	NUUUU	NUUUU	NUUUU	Western	1305000	19-Aug-83	NUUUU	NUUUU	Based on Book/Short Story	The Ballad of Gregorio Cortez	NUUUU	909000	909000
Contemporary Fiction	NUUUU	Big Fat Movies	3.2	1119	R	Comedy	3000000	30-Sep-05	23	NUUUU	NUUUU	My Big Fat Independent Movie	NUUUU	4655	4655
Science Fiction	Jack Lee Thompson	20th Century Fox	5.0	6094	NUUUU	NUUUU	1800000	1973-01-01	38	NUUUU	NUUUU	Battle for the Planet of the Apes	NUUUU	8800000	8800000
NUUUU	NUUUU	NUUUU	NUUUU	NUUUU	NUUUU	NUUUU	50000	31-Dec-09	NUUUU	NUUUU	NUUUU	Big Things	NUUUU	0	0
Fantasy	Norman Jewison	Warner Bros.	4.8	2742	PG	Comedy	32000000	6-Sep-96	40	NUUUU	Original Screenplay	Bogus	NUUUU	4357406	4357406
Contemporary Fiction	Martin Brest	Paramount Pictures	7.3	45065	NUUUU	Action	15000000	5-Dec-84	83	NUUUU	Original Screenplay	Beverly Hills Cop	NUUUU	234760478	316300000
Contemporary Fiction	Tony Scott	Paramount Pictures	6.1	29712	R	Action	20000000	20-May-87	46	NUUUU	Original Screenplay	Beverly Hills Cop II	NUUUU	153665036	276665036
Contemporary Fiction	John Landis	Paramount Pictures	5.0	21199	R	Action	50000000	25-May-94	10	NUUUU	Original Screenplay	Beverly Hills Cop III	NUUUU	42586861	119180938
Science Fiction	NUUUU	Walt Disney Pictures	5.6	7810	NUUUU	NUUUU	20000000	21-Dec-79	42	NUUUU	Original Screenplay	The Black Hole	NUUUU	35841901	35841901
NUUUU	NUUUU	NUUUU	6.1	1446	NUUUU	NUUUU	15000000	10-Jul-08	NUUUU	NUUUU	NUUUU	Bathory	NUUUU	0	3436763
Fantasy	Penny Marshall	20th Century Fox	7.2	49256	NUUUU	Comedy	18000000	3-Jun-88	96	NUUUU	Original Screenplay	Big	NUUUU	114968774	151668774
NUUUU	King Vidor	MGM	8.4	2600	NUUUU	Drama	245000	1-Jan-25	100	NUUUU	Based on Play	The Big Parade	NUUUU	11000000	22000000
Contemporary Fiction	John Singleton	Sony Pictures	7.8	30299	NUUUU	Drama	6500000	12-Jul-91	98	NUUUU	Original Screenplay	Boyz n the Hood	NUUUU	56190094	56190094
Historical Fiction	NUUUU	Distributor Unknown	NUUUU	NUUUU	PG	Drama	2000000	12-Sep-03	NUUUU	NUUUU	Based on Book/Short Story	The Book of Mormon Movie, Volume 1: The Journey	NUUUU	1660865	1660865
NUUUU	NUUUU	NUUUU	4.3	4632	NUUUU	NUUUU	11000000	1991-01-01	NUUUU	NUUUU	NUUUU	Return to the Blue Lagoon	NUUUU	2000000	2000000
Contemporary Fiction	NUUUU	United Artists	6.8	11929	R	Drama	25000000	1-Apr-88	61	NUUUU	Based on Book/Short Story	Bright Lights, Big City	NUUUU	16118077	16118077
Fantasy	George Cukor	20th Century Fox	4.9	359	NUUUU	NUUUU	1200000	1976-01-01	NUUUU	NUUUU	Based on Play	The Blue Bird	NUUUU	887000	887000
Contemporary Fiction	NUUUU	Alliance	6.2	817	PG	Drama	10400000	20-Feb-04	44	NUUUU	Original Screenplay	The Blue Butterfly	NUUUU	1610194	1610194
Science Fiction	Ridley Scott	Warner Bros.	8.3	185546	R	Thriller/Suspense	28000000	25-Jun-82	92	NUUUU	Based on Book/Short Story	Blade Runner	NUUUU	32656328	33139618
Contemporary Fiction	NUUUU	Cannon	6.2	19816	NUUUU	Action	1500000	26-Feb-88	NUUUU	NUUUU	Original Screenplay	Bloodsport	NUUUU	11806119	11806119
Contemporary Fiction	John Landis	Universal	7.9	62941	NUUUU	Musical	27000000	20-Jun-80	84	NUUUU	Original Screenplay	The Blues Brothers	NUUUU	57229890	57229890
Contemporary Fiction	Brian De Palma	Filmways Pictures	7.1	10239	NUUUU	Thriller/Suspense	18000000	24-Jul-81	89	NUUUU	Original Screenplay	Blow Out	NUUUU	13747234	13747234
Contemporary Fiction	NUUUU	WellSpring	7.3	7295	Not Rated	Drama	5500000	1-Jul-05	NUUUU	NUUUU	Original Screenplay	De battre mon coeur s'est arrÍtÈ	NUUUU	1023424	8589831
NUUUU	NUUUU	MGM	6.7	2017	NUUUU	Musical	379000	1929-01-01	38	NUUUU	Original Screenplay	The Broadway Melody	NUUUU	2800000	4358000
NUUUU	NUUUU	MGM	7.1	1115	NUUUU	NUUUU	2000000	1940-01-01	NUUUU	NUUUU	Original Screenplay	Boom Town	NUUUU	9172000	9172000
Contemporary Fiction	Andy Wachowski	Gramercy	7.4	23564	R	Thriller/Suspense	4500000	4-Oct-96	88	NUUUU	Original Screenplay	Bound	NUUUU	3802260	6300000
Contemporary Fiction	"Jeff \"\"King Jeff\"\" Hollins"	JeTi Films	6.3	369	NUUUU	Thriller/Suspense	10000	1-Apr-96	NUUUU	NUUUU	Original Screenplay	Bang	NUUUU	527	527
NUUUU	Woody Allen	MGM	7.1	12415	PG-13	Comedy	2000000	28-Apr-71	89	NUUUU	Original Screenplay	Bananas	NUUUU	NUUUU	NUUUU
Fantasy	Peter Hewitt	Orion Pictures	5.8	20188	NUUUU	Comedy	20000000	19-Jul-91	58	NUUUU	Original Screenplay	Bill & Ted's Bogus Journey	NUUUU	37537675	37537675
NUUUU	NUUUU	NUUUU	7.1	8901	NUUUU	Drama	110000	8-Feb-15	100	NUUUU	Based on Book/Short Story	The Birth of a Nation	NUUUU	10000000	11000000
Historical Fiction	Sam Peckinpah	Warner Bros.	7.3	3125	NUUUU	Western	3716946	13-May-70	92	NUUUU	Original Screenplay	The Ballad of Cable Hogue	NUUUU	3500000	5000000
NUUUU	NUUUU	New Line	6.2	2523	NUUUU	Action	7700000	23-Feb-90	NUUUU	NUUUU	Original Screenplay	The Blood of Heroes	NUUUU	882290	882290
Factual	NUUUU	Lifesize Entertainment	7.6	90	NUUUU	Documentary	120000	30-Jun-06	71	NUUUU	Based on Real Life Events	The Blood of My Brother: A Story of Death in Iraq	NUUUU	0	0
Contemporary Fiction	NUUUU	Paramount Pictures	5.9	202	NUUUU	Comedy	42000000	1-Jul-92	37	NUUUU	Original Screenplay	Boomerang	NUUUU	70052444	131052444
NUUUU	David Lean	Sony/Columbia	8.4	58641	NUUUU	Drama	3000000	18-Dec-57	95	NUUUU	Based on Book/Short Story	The Bridge on the River Kwai	NUUUU	33300000	33300000
Dramatization	Oliver Stone	Universal	7.2	32108	NUUUU	Drama	14000000	20-Dec-89	89	NUUUU	Based on Book/Short Story	Born on the Fourth of July	NUUUU	70001698	70001698
Dramatization	Julian Schnabel	Miramax	6.7	7935	R	Drama	3000000	9-Aug-96	69	NUUUU	Based on Real Life Events	Basquiat	NUUUU	2962051	2962051
Contemporary Fiction	Ridley Scott	Paramount Pictures	4.1	137	NUUUU	Thriller/Suspense	30000000	22-Sep-89	57	NUUUU	Original Screenplay	Black Rain	NUUUU	45892212	45892212
NUUUU	Wes Anderson	Sony Pictures	7.2	21980	R	Adventure	5000000	21-Feb-96	79	NUUUU	Based on Short Film	Bottle Rocket	NUUUU	407488	407488
NUUUU	Peter Jackson	Trimark	7.6	32827	NUUUU	Horror	3000000	12-Feb-93	NUUUU	NUUUU	Original Screenplay	Braindead	NUUUU	242623	242623
Historical Fiction	Clint Eastwood	Warner Bros.	7.2	21923	PG-13	Drama	22000000	2-Jun-95	90	NUUUU	Based on Book/Short Story	The Bridges of Madison County	NUUUU	71516617	175516617
Contemporary Fiction	Edward Burns	Fox Searchlight	6.4	4365	R	Drama	25000	9-Aug-95	91	NUUUU	Original Screenplay	The Brothers McMullen	NUUUU	10426506	10426506
Fantasy	Francis Ford Coppola	Sony Pictures	6.4	136	R	Horror	40000000	13-Nov-92	NUUUU	NUUUU	Based on Book/Short Story	Dracula	NUUUU	82522790	215862692
Contemporary Fiction	John Woo	20th Century Fox	5.8	33584	R	Action	65000000	9-Feb-96	55	108	Original Screenplay	Broken Arrow	NUUUU	70645997	148345997
Science Fiction	NUUUU	MGM	6.3	4410	NUUUU	Thriller/Suspense	15000000	30-Sep-83	64	NUUUU	Based on Book/Short Story	Brainstorm	NUUUU	8921050	8921050
Dramatization	Mel Gibson	Paramount Pictures	8.4	240642	R	Drama	72000000	24-May-95	77	NUUUU	Based on Real Life Events	Braveheart	NUUUU	75545647	209000000
Contemporary Fiction	NUUUU	NUUUU	4.4	1254	NUUUU	Comedy	42000000	1-Feb-06	NUUUU	NUUUU	NUUUU	Les BronzÈs 3: amis pour la vie	NUUUU	0	83833602
Fantasy	Terry Gilliam	Universal	8.0	76635	R	Black Comedy	15000000	18-Dec-85	98	136	Original Screenplay	Brazil	NUUUU	9929135	9929135
NUUUU	Mel Brooks	Warner Bros.	7.8	45771	NUUUU	Comedy	2600000	1-Jan-74	89	NUUUU	Original Screenplay	Blazing Saddles	NUUUU	119500000	119500000
NUUUU	NUUUU	MGM	6.3	343	PG	Drama	1300000	5-May-00	NUUUU	NUUUU	Original Screenplay	The Basket	NUUUU	609042	609042
NUUUU	NUUUU	MGM	6.2	487	NUUUU	Musical	2361000	1944-01-01	NUUUU	NUUUU	Original Screenplay	Bathing Beauty	NUUUU	3500000	3500000
Science Fiction	Stephen Herek	Orion Pictures	6.7	30341	NUUUU	Comedy	10000000	17-Feb-89	81	NUUUU	Original Screenplay	Bill & Ted's Excellent Adventure	NUUUU	39916091	39916091
NUUUU	Sir Richard Attenborough	MGM	7.3	16882	NUUUU	Action	26000000	15-Jun-77	67	NUUUU	Based on Book/Short Story	A Bridge Too Far	NUUUU	50800000	50800000
Fantasy	Tim Burton	Warner Bros.	7.3	61197	NUUUU	Comedy	15000000	30-Mar-88	NUUUU	NUUUU	Original Screenplay	Beetle Juice	NUUUU	73326666	73326666
Super Hero	Tim Burton	Warner Bros.	6.9	78673	PG-13	Action	80000000	18-Jun-92	78	NUUUU	Original Screenplay	Batman Returns	NUUUU	162831698	266822354
Super Hero	Joel Schumacher	Warner Bros.	5.4	76218	PG-13	Action	100000000	16-Jun-95	43	NUUUU	Original Screenplay	Batman Forever	NUUUU	184031112	336529144
NUUUU	NUUUU	NUUUU	NUUUU	NUUUU	NUUUU	NUUUU	1377800	21-Aug-01	NUUUU	NUUUU	NUUUU	Batman - The Movie	NUUUU	0	0
Super Hero	Tim Burton	Warner Bros.	7.6	111464	PG-13	Action	35000000	23-Jun-89	71	NUUUU	Based on Comic/Graphic Novel	Batman	NUUUU	251188924	411348924
Fantasy	NUUUU	20th Century Fox	5.3	16056	NUUUU	Horror	7000000	31-Jul-92	32	NUUUU	Original Screenplay	Buffy the Vampire Slayer	NUUUU	14231669	14231669
Contemporary Fiction	NUUUU	Link Productions Ltd.	7.0	7129	Not Rated	Comedy	16000000	25-Jul-08	NUUUU	109	Original Screenplay	Bienvenue chez les Ch'tis	NUUUU	1470856	243470856
